rok,miesiac,dzien,max_temp,min_temp,sr_temp,min_temp_grunt,suma_opad,rodz_opad,sr_zachm,sr_predk_wiatr,sr_cisn,sr_wilg,sr_cisn_stacja,sr_cisn_morze,opad_dzien,opad_noc
2011,4,6,14.1,6.0,10.7,2.6,0.6,W,6.9,4.4,9.8,76.0,1007.9,1020.9,0.0,0.6
2011,4,7,20.3,9.8,12.6,8.6,0.4,W,6.9,8.6,11.7,79.1,997.4,1010.2,0.4,0.0
2011,4,8,11.0,6.2,7.7,6.0,5.4,W,7.3,10.3,7.5,71.4,990.8,1003.7,1.8,3.6
2011,4,9,9.0,3.1,6.2,1.9,0.0,W,6.3,9.1,6.6,69.9,995.0,1008.1,0.0,0.0
2011,4,10,9.8,2.9,5.7,1.5,0.0,W,4.3,7.4,5.3,58.9,1002.0,1015.2,0.0,0.0
2011,4,11,7.6,-1.1,4.8,-2.9,13.0,W,5.9,3.5,7.3,81.6,1003.5,1016.7,5.2,7.8
2011,4,12,16.3,6.8,10.3,5.5,3.4,W,5.8,4.9,9.9,81.5,991.9,1004.7,0.6,2.8
2011,4,13,8.9,4.9,5.8,4.9,2.4,W,7.3,4.0,7.8,84.4,994.3,1007.3,1.0,1.4
2011,4,14,12.0,5.1,7.6,4.6,0.0,W,6.0,4.5,7.5,74.8,998.2,1011.2,0.0,0.0
2011,4,15,12.2,3.1,7.1,1.4,0.0,,5.4,2.9,6.9,70.5,1004.9,1018.1,0.0,0.0
2011,4,16,13.9,1.7,8.3,-2.3,0.0,,3.1,1.8,6.3,61.4,1009.0,1022.1,0.0,0.0
2011,4,17,15.9,4.2,10.5,1.7,0.0,,5.6,2.5,7.5,60.6,1009.9,1022.9,0.0,0.0
2011,4,18,17.7,5.0,11.4,0.6,0.0,,2.0,3.1,8.4,63.1,1009.3,1022.3,0.0,0.0
2011,4,19,15.1,4.8,10.4,2.6,0.0,,0.6,3.8,6.3,53.1,1008.4,1021.4,0.0,0.0
2011,4,20,17.8,3.4,11.2,-1.3,0.0,,0.1,2.3,5.1,41.1,1008.9,1021.9,0.0,0.0
2011,4,21,20.3,5.3,13.2,1.0,0.0,,1.3,1.8,6.3,44.3,1006.6,1019.4,0.0,0.0
2011,4,22,20.5,5.5,14.1,0.0,0.0,,0.8,2.1,6.5,43.6,1005.7,1018.5,0.0,0.0
2011,4,23,20.1,7.6,14.0,2.0,0.0,W,3.6,2.5,7.5,47.6,1004.6,1017.4,0.0,0.0
2011,4,24,16.2,10.3,12.3,8.2,3.4,W,5.4,4.0,9.7,67.8,1005.3,1018.2,2.0,1.4
2011,4,25,20.3,7.2,13.8,4.5,0.0,,5.9,1.3,10.5,70.1,1007.3,1020.1,0.0,0.0
2011,4,26,22.9,7.4,16.0,3.5,0.0,,1.3,3.1,8.1,50.8,1006.3,1019.1,0.0,0.0
2011,4,27,23.2,9.1,16.6,3.9,0.0,,2.1,3.1,7.5,41.8,1006.0,1018.7,0.0,0.0
2011,4,28,23.7,10.0,17.2,3.4,0.0,,3.0,2.9,7.7,41.3,1004.9,1017.5,0.0,0.0
2011,4,29,22.7,7.6,16.4,3.1,0.0,,1.8,2.4,8.6,48.4,1002.6,1015.3,0.0,0.0
2011,4,30,18.9,7.9,14.4,4.0,0.0,W,3.0,3.0,8.9,56.0,999.1,1011.9,0.0,0.0
2011,5,1,16.0,7.9,9.3,6.5,1.2,W,5.1,3.4,8.8,75.6,997.8,1010.7,1.2,0.0
2011,5,2,10.8,3.6,7.1,1.1,0.0,,5.6,3.5,8.1,80.9,999.1,1012.2,0.0,0.0
2011,5,3,7.9,0.6,3.4,-2.1,14.0,S,5.9,4.1,6.8,88.4,998.8,1012.0,10.0,4.0
2011,5,4,11.3,-1.3,5.4,-2.9,0.6,W,2.0,3.4,5.9,68.9,1003.4,1016.6,0.0,0.6
2011,5,5,10.3,2.7,5.6,1.2,0.4,S,5.8,3.5,7.0,77.9,1009.7,1022.9,0.2,0.2
2011,5,6,15.6,-0.4,9.1,-3.2,0.0,,3.3,2.6,7.5,68.4,1012.9,1026.0,0.0,0.0
2011,5,7,14.4,3.9,9.5,-1.0,2.8,W,5.0,5.3,8.1,69.0,1011.7,1024.8,0.6,2.2
2011,5,8,17.2,8.9,12.8,8.4,0.0,,6.1,4.0,9.9,68.5,1014.4,1027.4,0.0,0.0
2011,5,9,22.4,6.2,15.2,1.5,0.0,,1.9,0.9,10.3,62.5,1017.8,1030.7,0.0,0.0
2011,5,10,23.8,11.0,18.4,8.1,0.0,,2.8,2.8,10.6,53.8,1014.3,1027.0,0.0,0.0
2011,5,11,24.2,8.8,17.6,3.9,0.0,,1.6,0.8,9.0,49.3,1009.5,1022.2,0.0,0.0
2011,5,12,25.2,8.7,18.5,3.7,2.6,W,4.5,1.6,9.8,50.0,1002.5,1015.1,0.0,2.6
2011,5,13,21.4,10.9,13.8,10.8,1.6,W,5.4,4.8,12.4,78.9,1001.8,1014.5,1.6,0.0
2011,5,14,19.0,6.3,14.0,3.3,0.0,W,3.6,1.9,9.8,63.6,1003.9,1016.7,0.0,0.0
2011,5,15,16.6,9.3,11.6,6.8,8.4,W,7.5,3.1,11.4,84.1,999.8,1012.6,5.0,3.4
2011,5,16,15.8,6.9,11.4,5.7,0.0,,5.0,3.5,9.5,72.8,1005.1,1018.1,0.0,0.0
2011,5,17,18.4,6.6,13.4,3.4,0.0,W,6.1,1.9,11.5,75.1,1006.3,1019.2,0.0,0.0
2011,5,18,20.9,13.7,16.6,12.4,0.0,,5.5,2.8,12.5,67.5,1007.3,1020.0,0.0,0.0
2011,5,19,26.8,11.9,19.7,9.5,0.0,,3.0,1.4,13.2,61.6,1006.0,1018.6,0.0,0.0
2011,5,20,27.9,12.7,20.9,9.2,5.8,W,3.8,1.8,14.4,60.6,1004.9,1017.5,2.4,3.4
2011,5,21,25.0,15.0,19.6,12.6,0.0,,4.9,1.5,15.4,69.6,1007.0,1019.6,0.0,0.0
2011,5,22,25.7,14.0,20.0,10.5,0.0,W,3.9,1.0,15.8,70.1,1006.7,1019.3,0.0,0.0
2011,5,23,21.6,14.4,17.6,12.4,0.0,,4.5,3.0,13.2,66.8,1008.9,1021.6,0.0,0.0
2011,5,24,26.6,8.9,18.5,4.1,0.0,W,2.6,2.3,13.1,63.8,1007.7,1020.3,0.0,0.0
2011,5,25,22.5,9.1,13.2,8.3,0.0,,3.9,4.1,8.4,57.6,1011.8,1024.8,0.0,0.0
2011,5,26,21.3,3.9,14.3,0.1,0.0,,2.0,2.1,8.2,55.0,1007.8,1020.7,0.0,0.0
2011,5,27,24.4,11.0,16.9,8.8,10.4,W,5.6,2.6,13.6,71.0,999.7,1012.3,7.6,2.8
2011,5,28,16.4,12.4,14.4,10.7,0.4,W,7.3,1.8,13.9,85.5,1002.6,1015.3,0.0,0.4
2011,5,29,21.9,12.8,16.9,6.8,0.0,,4.8,1.3,12.8,69.5,1003.2,1015.8,0.0,0.0
2011,5,30,25.5,10.6,19.6,7.7,0.0,,0.4,2.4,13.1,60.8,1008.4,1021.0,0.0,0.0
2011,5,31,29.7,15.3,23.1,10.8,0.0,,1.1,3.8,14.9,55.9,1004.6,1017.0,0.0,0.0
2011,6,1,29.6,14.9,23.4,13.6,10.0,W,4.5,2.3,14.7,55.0,1005.1,1017.5,0.0,10.0
2011,6,2,25.6,16.4,20.9,15.5,0.0,,3.9,4.1,16.5,68.0,1011.8,1024.4,0.0,0.0
2011,6,3,25.2,13.6,20.0,12.5,0.0,,1.4,3.3,10.7,47.1,1014.9,1027.5,0.0,0.0
2011,6,4,26.4,15.6,21.1,14.8,0.0,,1.6,1.8,14.0,57.6,1009.5,1022.1,0.0,0.0
2011,6,5,28.8,14.5,22.7,12.5,0.0,,2.0,2.9,13.5,51.6,1003.4,1015.8,0.0,0.0
2011,6,6,30.4,17.2,23.2,16.0,3.2,W,2.6,4.3,15.6,57.4,999.1,1011.4,1.4,1.8
2011,6,7,24.8,17.3,20.9,15.9,0.0,W,5.6,2.8,18.9,77.0,997.1,1009.5,0.0,0.0
2011,6,8,30.6,16.8,23.1,15.3,7.4,W,3.5,2.6,18.8,69.8,993.6,1005.9,0.0,7.4
2011,6,9,24.0,15.1,17.8,14.8,1.2,W,6.4,4.3,19.1,93.8,993.5,1006.0,1.0,0.2
2011,6,10,15.2,12.0,13.5,10.8,0.4,W,7.6,5.1,14.1,91.6,998.3,1011.0,0.4,0.0
2011,6,11,21.9,12.2,17.0,11.9,0.0,,5.0,4.5,12.6,66.8,1000.3,1012.9,0.0,0.0
2011,6,12,21.5,12.3,17.4,11.3,0.0,,4.3,5.1,11.1,58.4,1002.6,1015.2,0.0,0.0
2011,6,13,22.9,10.8,17.6,9.6,0.0,,2.8,3.3,10.0,53.0,1003.9,1016.5,0.0,0.0
2011,6,14,25.8,9.8,19.2,8.2,0.0,,4.3,2.1,12.0,57.5,1002.3,1014.9,0.0,0.0
2011,6,15,23.4,15.5,19.1,14.3,0.0,,5.9,2.5,14.1,65.5,1004.1,1016.7,0.0,0.0
2011,6,16,27.0,14.5,21.2,12.4,0.0,,5.3,1.3,14.7,61.9,1001.7,1014.1,0.0,0.0
2011,6,17,24.0,16.8,19.8,15.4,0.0,W,4.8,3.3,15.5,68.0,999.9,1012.4,0.0,0.0
2011,6,18,25.9,12.6,19.6,9.6,1.8,W,6.3,3.0,15.6,68.0,994.8,1007.3,0.0,1.8
2011,6,19,21.3,14.1,17.1,12.9,0.8,W,6.3,2.5,12.7,66.3,993.9,1006.5,0.4,0.4
2011,6,20,19.3,12.0,13.7,10.2,6.4,W,6.0,4.3,13.2,84.8,996.1,1008.8,4.4,2.0
2011,6,21,23.0,9.9,16.9,7.9,0.0,W,3.4,1.8,12.4,67.6,1001.2,1013.8,0.0,0.0
2011,6,22,26.1,10.7,20.3,8.1,2.8,W,4.5,2.5,14.2,63.8,1002.2,1014.7,0.0,2.8
2011,6,23,23.4,17.8,20.1,17.0,0.0,W,4.9,3.8,14.5,62.9,1001.3,1013.8,0.0,0.0
2011,6,24,21.5,14.5,16.4,13.1,2.0,W,5.6,3.3,13.7,74.0,1002.0,1014.7,1.0,1.0
2011,6,25,20.2,10.2,14.0,8.8,4.6,W,5.0,3.6,12.0,76.9,1005.6,1018.4,2.0,2.6
2011,6,26,21.0,8.5,15.8,6.6,0.0,,2.6,3.9,10.7,62.8,1007.2,1020.0,0.0,0.0
2011,6,27,23.0,9.8,16.6,9.3,0.0,,2.5,4.4,11.4,62.6,1007.9,1020.7,0.0,0.0
2011,6,28,26.6,12.9,20.4,11.9,0.0,,4.1,6.8,13.8,59.0,1004.0,1016.5,0.0,0.0
2011,6,29,26.6,17.8,21.6,16.8,8.2,W,4.5,3.5,19.0,74.3,1000.3,1012.7,5.4,2.8
2011,6,30,23.7,17.2,19.9,16.5,0.0,,4.5,3.5,17.4,76.4,997.8,1010.2,0.0,0.0
2011,7,1,21.6,11.6,14.9,11.1,9.2,W,6.9,4.0,16.1,94.5,997.1,1009.8,7.2,2.0
2011,7,2,14.3,11.2,12.3,9.6,17.4,W,7.9,5.0,13.4,93.9,992.1,1004.8,1.0,16.4
2011,7,3,13.6,10.6,12.1,9.9,9.2,W,7.4,2.8,13.5,95.6,989.4,1002.1,3.8,5.4
2011,7,4,16.3,11.4,13.7,10.0,9.6,W,7.0,1.9,14.7,93.8,993.8,1006.4,9.6,0.0
2011,7,5,22.4,12.5,17.2,11.7,20.2,W,6.6,3.6,15.8,82.0,997.3,1009.9,1.2,19.0
2011,7,6,19.6,15.2,17.5,14.6,27.8,W,8.0,6.1,19.6,98.5,991.9,1004.4,21.6,6.2
2011,7,7,22.7,16.2,18.3,16.0,0.0,W,5.8,3.1,19.0,91.3,997.3,1009.8,0.0,0.0
2011,7,8,27.1,12.5,19.8,11.7,13.6,W,5.0,2.1,20.0,88.0,999.6,1012.1,13.4,0.2
2011,7,9,27.0,15.9,21.6,15.0,0.0,,3.0,2.3,17.8,72.5,1005.5,1018.0,0.0,0.0
