,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
80,249180160,BRENNA,2012,1,19,4.1,,-1.4,,1.8,,-3.0,,4.1,,S,22,
81,249180160,BRENNA,2012,1,20,5.5,,-0.3,,1.7,,-2.6,,7.2,,S,17,
82,249180160,BRENNA,2012,1,21,2.0,,-1.3,,0.3,,-3.2,,4.9,,S,24,
83,249180160,BRENNA,2012,1,22,3.9,,0.0,,1.9,,-1.0,,4.2,,W,18,
84,249180160,BRENNA,2012,1,23,3.3,,0.6,,1.8,,-0.4,,0.1,,S,15,
85,249180160,BRENNA,2012,1,24,2.7,,-0.9,,0.6,,-2.5,,1.4,,S,12,
86,249180160,BRENNA,2012,1,25,-0.8,,-3.8,,-2.2,,-8.7,,0.3,,S,13,
87,249180160,BRENNA,2012,1,26,-1.7,,-5.5,,-4.2,,-6.1,,0.4,,S,13,
88,249180160,BRENNA,2012,1,27,-5.2,,-13.5,,-11.1,,-19.9,,0.0,9.0,,14,
89,249180160,BRENNA,2012,1,28,-2.6,,-13.6,,-8.7,,-17.0,,0.0,9.0,,14,
90,249180160,BRENNA,2012,1,29,-7.6,,-16.1,,-13.2,,-18.9,,0.0,9.0,,13,
91,249180160,BRENNA,2012,1,30,-5.7,,-19.1,,-14.3,,-22.7,,0.0,9.0,,13,
92,249180160,BRENNA,2012,1,31,-9.3,,-19.9,,-16.1,,-23.5,,0.0,9.0,,13,
93,249180230,WIS£A,2012,1,1,1.0,,-7.3,,-1.9,,-11.9,,0.3,,W,8,
94,249180230,WIS£A,2012,1,2,6.7,,0.0,,3.5,,0.5,,4.2,,W,5,
95,249180230,WIS£A,2012,1,3,5.7,,1.7,,3.3,,0.9,,0.6,,W,0,9.0
96,249180230,WIS£A,2012,1,4,6.1,,2.5,,4.5,,2.0,,11.4,,S,0,9.0
97,249180230,WIS£A,2012,1,5,4.2,,-0.4,,1.7,,-0.5,,10.1,,S,0,
98,249180230,WIS£A,2012,1,6,3.7,,-0.4,,1.2,,-0.1,,8.6,,S,3,
99,249180230,WIS£A,2012,1,7,1.0,,-3.0,,-0.8,,-4.1,,6.7,,S,4,
100,249180230,WIS£A,2012,1,8,2.2,,-0.8,,0.7,,-0.1,,11.7,,S,11,
101,249180230,WIS£A,2012,1,9,1.4,,-1.2,,0.1,,-0.3,,12.0,,S,11,
102,249180230,WIS£A,2012,1,10,2.5,,-1.5,,0.7,,-0.9,,13.2,,S,21,
103,249180230,WIS£A,2012,1,11,2.5,,-0.7,,0.9,,0.3,,1.2,,W,14,
104,249180230,WIS£A,2012,1,12,4.7,,0.1,,2.7,,0.4,,2.8,,S,10,
105,249180230,WIS£A,2012,1,13,5.6,,-2.1,,1.1,,-1.5,,8.9,,S,9,
106,249180230,WIS£A,2012,1,14,-0.5,,-3.5,,-2.0,,-3.0,,8.4,,S,22,
107,249180230,WIS£A,2012,1,15,-2.2,,-4.8,,-3.5,,-4.1,,12.3,,S,32,
108,249180230,WIS£A,2012,1,16,-3.3,,-9.9,,-6.6,,-11.2,,6.6,,S,44,
109,249180230,WIS£A,2012,1,17,-1.4,,-5.4,,-3.4,,-5.1,,7.0,,S,45,
110,249180230,WIS£A,2012,1,18,0.5,,-4.9,,-2.9,,-7.3,,3.6,,S,44,
111,249180230,WIS£A,2012,1,19,1.0,,-5.6,,-1.3,,-9.1,,3.7,,S,45,
112,249180230,WIS£A,2012,1,20,4.5,,-2.2,,0.4,,-2.6,,8.6,,S,43,
113,249180230,WIS£A,2012,1,21,2.2,,-3.0,,-0.6,,-3.0,,8.6,,S,48,
114,249180230,WIS£A,2012,1,22,3.4,,-1.7,,1.0,,-0.8,,12.1,,S,51,
115,249180230,WIS£A,2012,1,23,3.4,,-1.1,,1.0,,0.0,,2.1,,S,44,
116,249180230,WIS£A,2012,1,24,2.5,,-2.5,,-0.6,,-1.5,,3.0,,S,42,
117,249180230,WIS£A,2012,1,25,-1.0,,-6.3,,-3.7,,-9.1,,0.3,,S,45,
118,249180230,WIS£A,2012,1,26,-3.1,,-6.9,,-4.9,,-9.0,,0.5,,S,43,
119,249180230,WIS£A,2012,1,27,-5.5,,-14.2,,-10.8,,-17.1,,0.1,,S,42,
120,249180230,WIS£A,2012,1,28,1.0,,-13.3,,-8.1,,-17.7,,0.0,9.0,,41,
121,249180230,WIS£A,2012,1,29,-7.3,,-14.6,,-12.3,,-18.8,,0.0,9.0,,41,
122,249180230,WIS£A,2012,1,30,-7.3,,-18.6,,-14.2,,-22.8,,0.0,9.0,,40,
123,249180230,WIS£A,2012,1,31,-10.4,,-19.6,,-16.1,,-23.1,,0.0,,W,40,
124,249190090,INWA£D,2012,1,1,4.5,,-1.4,,2.2,,0.0,8.0,0.1,,W,0,9.0
125,249190090,INWA£D,2012,1,2,12.8,,4.4,,8.2,,0.0,8.0,2.2,,W,0,9.0
126,249190090,INWA£D,2012,1,3,8.2,,4.5,,5.9,,0.0,8.0,0.0,9.0,,0,9.0
127,249190090,INWA£D,2012,1,4,8.1,,5.0,,6.2,,0.0,8.0,4.2,,W,0,9.0
128,249190090,INWA£D,2012,1,5,5.0,,2.0,,3.5,,0.0,8.0,5.9,,S,0,9.0
129,249190090,INWA£D,2012,1,6,4.0,,0.7,,1.8,,0.0,8.0,1.7,,S,0,
130,249190090,INWA£D,2012,1,7,2.5,,-1.0,,0.9,,0.0,8.0,4.1,,W,0,9.0
131,249190090,INWA£D,2012,1,8,2.5,,0.5,,1.8,,0.0,8.0,7.6,,W,0,9.0
132,249190090,INWA£D,2012,1,9,2.5,,0.5,,1.4,,0.0,8.0,7.1,,S,0,9.0
133,249190090,INWA£D,2012,1,10,3.4,,0.0,,1.7,,0.0,8.0,5.6,,W,1,
134,249190090,INWA£D,2012,1,11,4.9,,0.5,,2.7,,0.0,8.0,1.2,,W,0,9.0
135,249190090,INWA£D,2012,1,12,6.9,,4.0,,5.2,,0.0,8.0,2.1,,S,0,9.0
136,249190090,INWA£D,2012,1,13,5.5,,-1.0,,1.3,,0.0,8.0,10.4,,S,1,
137,249190090,INWA£D,2012,1,14,0.1,,-3.4,,-1.8,,0.0,8.0,1.9,,S,12,
138,249190090,INWA£D,2012,1,15,-2.3,,-3.9,,-3.4,,0.0,8.0,4.4,,S,14,
139,249190090,INWA£D,2012,1,16,-3.4,,-6.3,,-5.0,,0.0,8.0,3.4,,S,17,
140,249190090,INWA£D,2012,1,17,-1.8,,-4.9,,-3.1,,0.0,8.0,0.6,,S,22,
141,249190090,INWA£D,2012,1,18,1.0,,-4.3,,-1.3,,0.0,8.0,0.8,,S,19,
142,249190090,INWA£D,2012,1,19,3.0,,-0.5,,1.5,,0.0,8.0,2.3,,S,18,
143,249190090,INWA£D,2012,1,20,3.4,,-0.5,,1.1,,0.0,8.0,4.2,,S,7,
144,249190090,INWA£D,2012,1,21,1.6,,-1.4,,0.3,,0.0,8.0,1.4,,S,10,
145,249190090,INWA£D,2012,1,22,3.9,,-0.1,,2.0,,0.0,8.0,1.4,,S,6,
146,249190090,INWA£D,2012,1,23,3.0,,0.0,,1.5,,0.0,8.0,0.3,,S,0,9.0
147,249190090,INWA£D,2012,1,24,2.5,,-1.2,,0.3,,0.0,8.0,0.9,,S,0,9.0
148,249190090,INWA£D,2012,1,25,-1.0,,-3.6,,-2.6,,0.0,8.0,1.5,,S,1,
149,249190090,INWA£D,2012,1,26,-2.1,,-6.0,,-4.5,,0.0,8.0,0.7,,S,3,
150,249190090,INWA£D,2012,1,27,-5.9,,-13.0,,-11.0,,0.0,8.0,0.0,9.0,,4,
151,249190090,INWA£D,2012,1,28,-6.1,,-14.0,,-11.0,,0.0,8.0,0.0,9.0,,4,
152,249190090,INWA£D,2012,1,29,-8.4,,-15.6,,-12.3,,0.0,8.0,0.0,9.0,,4,
153,249190090,INWA£D,2012,1,30,-9.0,,-17.2,,-14.0,,0.0,8.0,0.0,9.0,,4,
154,249190090,INWA£D,2012,1,31,-10.3,,-18.7,,-15.0,,0.0,8.0,0.0,9.0,,4,
155,249190190,MAKÓW PODHALAÑSKI,2012,1,1,2.1,,-8.8,,-3.8,,0.0,8.0,0.0,9.0,,0,8.0
156,249190190,MAKÓW PODHALAÑSKI,2012,1,2,10.0,,-0.4,,3.0,,0.0,8.0,2.1,,,0,8.0
157,249190190,MAKÓW PODHALAÑSKI,2012,1,3,8.0,,-1.5,,2.1,,0.0,8.0,0.0,9.0,,0,8.0
158,249190190,MAKÓW PODHALAÑSKI,2012,1,4,9.7,,-1.8,,4.7,,0.0,8.0,3.9,,,0,8.0
159,249190190,MAKÓW PODHALAÑSKI,2012,1,5,5.4,,1.2,,3.8,,0.0,8.0,1.5,,,0,8.0
160,249190190,MAKÓW PODHALAÑSKI,2012,1,6,5.4,,0.6,,2.1,,0.0,8.0,2.3,,,0,8.0
161,249190190,MAKÓW PODHALAÑSKI,2012,1,7,2.2,,-1.5,,-0.1,,0.0,8.0,7.4,,,0,8.0
162,249190190,MAKÓW PODHALAÑSKI,2012,1,8,2.1,,-0.3,,0.7,,0.0,8.0,7.6,,,0,8.0
163,249190190,MAKÓW PODHALAÑSKI,2012,1,9,1.3,,-0.1,,0.3,,0.0,8.0,5.2,,,0,8.0
164,249190190,MAKÓW PODHALAÑSKI,2012,1,10,3.0,,-1.0,,0.9,,0.0,8.0,8.2,,,0,8.0
165,249190190,MAKÓW PODHALAÑSKI,2012,1,11,3.1,,0.1,,1.2,,0.0,8.0,0.6,,,0,8.0
166,249190190,MAKÓW PODHALAÑSKI,2012,1,12,7.2,,1.2,,4.1,,0.0,8.0,1.7,,,0,8.0
